i,K(i),"T(i,j),j=0,1,...,K(i)-1"

0,1.0, {0} 

1,2.0," {0, 4}, {0, 6} "

2,5.0," {0, 4, 6}, {0, 3, 4}, {0, 9, 4}, {0, 1, 6}, {0, 6, 7} "

3,12.0," {0, 3, 4, 6}, {0, 9, 4, 6}, {0, 1, 4, 6}, {0, 4, 6, 7}, {0, 8, 3, 4}, {0, 9, 3, 4}, {0, 9, 2, 4}, {0, 9, 10, 4}, {0, 1, 6, 8}, {0, 1, 6, 7}, {0, 2, 6, 7}, {0, 11, 6, 7} "

4,26.0," {0, 8, 3, 4, 6}, {0, 9, 3, 4, 6}, {0, 1, 3, 4, 6}, {0, 3, 4, 6, 7}, {0, 9, 2, 4, 6}, {0, 9, 10, 4, 6}, {0, 9, 4, 6, 1}, {0, 9, 4, 6, 7}, {0, 1, 4, 6, 8}, {0, 1, 4, 6, 7}, {0, 2, 4, 6, 7}, {0, 11, 4, 6, 7}, {0, 8, 3, 4, 1}, {0, 8, 3, 4, 9}, {0, 9, 2, 3, 4}, {0, 9, 10, 3, 4}, {0, 9, 2, 4, 10}, {0, 9, 2, 4, 7}, {0, 9, 10, 4, 5}, {0, 1, 7, 6, 8}, {0, 1, 3, 6, 8}, {0, 1, 2, 6, 7}, {0, 1, 11, 6, 7}, {0, 9, 2, 6, 7}, {0, 2, 11, 6, 7}, {0, 11, 5, 6, 7} "

5,44.0," {0, 1, 3, 4, 6, 8}, {0, 3, 4, 6, 8, 9}, {0, 3, 4, 6, 7, 8}, {0, 2, 3, 4, 6, 9}, {0, 3, 4, 6, 9, 10}, {0, 1, 3, 4, 6, 9}, {0, 3, 4, 6, 7, 9}, {0, 1, 3, 4, 6, 7}, {0, 2, 3, 4, 6, 7}, {0, 3, 4, 6, 7, 11}, {0, 2, 4, 6, 9, 10}, {0, 2, 4, 6, 7, 9}, {0, 1, 2, 4, 6, 9}, {0, 4, 5, 6, 9, 10}, {0, 1, 4, 6, 9, 10}, {0, 4, 6, 7, 9, 10}, {0, 1, 4, 6, 7, 9}, {0, 1, 4, 6, 8, 9}, {0, 4, 6, 7, 9, 11}, {0, 1, 4, 6, 7, 8}, {0, 1, 2, 4, 6, 7}, {0, 1, 4, 6, 7, 11}, {0, 2, 4, 6, 7, 11}, {0, 4, 5, 6, 7, 11}, {0, 1, 3, 4, 8, 9}, {0, 2, 3, 4, 8, 9}, {0, 3, 4, 8, 9, 10}, {0, 2, 3, 4, 9, 10}, {0, 2, 3, 4, 7, 9}, {0, 3, 4, 5, 9, 10}, {0, 2, 4, 7, 9, 10}, {0, 2, 4, 5, 9, 10}, {0, 2, 4, 7, 9, 11}, {0, 4, 5, 9, 10, 11}, {0, 1, 2, 6, 7, 8}, {0, 1, 6, 7, 8, 11}, {0, 1, 3, 6, 7, 8}, {0, 1, 2, 6, 7, 9}, {0, 1, 2, 6, 7, 11}, {0, 1, 5, 6, 7, 11}, {0, 2, 6, 7, 9, 10}, {0, 2, 6, 7, 9, 11}, {0, 2, 5, 6, 7, 11}, {0, 5, 6, 7, 10, 11} "

6,68.0," {0, 1, 3, 4, 6, 8, 9}, {0, 1, 3, 4, 6, 7, 8}, {0, 3, 4, 6, 7, 8, 9}, {0, 2, 3, 4, 6, 8, 9}, {0, 3, 4, 6, 8, 9, 10}, {0, 2, 3, 4, 6, 7, 8}, {0, 3, 4, 6, 7, 8, 11}, {0, 2, 3, 4, 6, 7, 9}, {0, 1, 2, 3, 4, 6, 9}, {0, 2, 3, 4, 6, 9, 10}, {0, 1, 3, 4, 6, 9, 10}, {0, 3, 4, 6, 7, 9, 10}, {0, 3, 4, 5, 6, 9, 10}, {0, 1, 3, 4, 6, 7, 9}, {0, 3, 4, 6, 7, 9, 11}, {0, 1, 2, 3, 4, 6, 7}, {0, 1, 3, 4, 6, 7, 11}, {0, 2, 3, 4, 6, 7, 11}, {0, 3, 4, 5, 6, 7, 11}, {0, 2, 4, 6, 7, 9, 10}, {0, 1, 2, 4, 6, 9, 10}, {0, 2, 4, 5, 6, 9, 10}, {0, 1, 2, 4, 6, 7, 9}, {0, 2, 4, 6, 7, 9, 11}, {0, 1, 2, 4, 6, 8, 9}, {0, 4, 5, 6, 9, 10, 11}, {0, 1, 4, 5, 6, 9, 10}, {0, 4, 5, 6, 7, 9, 10}, {0, 1, 4, 6, 8, 9, 10}, {0, 1, 4, 6, 7, 9, 10}, {0, 4, 6, 7, 9, 10, 11}, {0, 1, 4, 6, 7, 8, 9}, {0, 1, 4, 6, 7, 9, 11}, {0, 4, 5, 6, 7, 9, 11}, {0, 1, 2, 4, 6, 7, 8}, {0, 1, 4, 6, 7, 8, 11}, {0, 1, 2, 4, 6, 7, 11}, {0, 1, 4, 5, 6, 7, 11}, {0, 2, 4, 5, 6, 7, 11}, {0, 4, 5, 6, 7, 10, 11}, {0, 1, 2, 3, 4, 8, 9}, {0, 1, 3, 4, 8, 9, 10}, {0, 2, 3, 4, 7, 8, 9}, {0, 2, 3, 4, 8, 9, 10}, {0, 3, 4, 5, 8, 9, 10}, {0, 2, 3, 4, 7, 9, 10}, {0, 2, 3, 4, 5, 9, 10}, {0, 2, 3, 4, 7, 9, 11}, {0, 3, 4, 5, 9, 10, 11}, {0, 2, 4, 7, 9, 10, 11}, {0, 2, 4, 5, 7, 9, 10}, {0, 2, 4, 5, 9, 10, 11}, {0, 2, 4, 5, 7, 9, 11}, {0, 4, 5, 7, 9, 10, 11}, {0, 1, 2, 6, 7, 8, 9}, {0, 1, 2, 6, 7, 8, 11}, {0, 1, 2, 3, 6, 7, 8}, {0, 1, 3, 6, 7, 8, 11}, {0, 1, 5, 6, 7, 8, 11}, {0, 1, 2, 6, 7, 9, 11}, {0, 1, 2, 6, 7, 9, 10}, {0, 1, 2, 5, 6, 7, 11}, {0, 1, 5, 6, 7, 10, 11}, {0, 2, 6, 7, 9, 10, 11}, {0, 2, 5, 6, 7, 9, 10}, {0, 2, 5, 6, 7, 9, 11}, {0, 2, 5, 6, 7, 10, 11}, {0, 5, 6, 7, 9, 10, 11} "

7,76.0," {0, 1, 3, 4, 6, 7, 8, 9}, {0, 1, 2, 3, 4, 6, 8, 9}, {0, 1, 3, 4, 6, 8, 9, 10}, {0, 1, 2, 3, 4, 6, 7, 8}, {0, 1, 3, 4, 6, 7, 8, 11}, {0, 2, 3, 4, 6, 7, 8, 9}, {0, 3, 4, 6, 7, 8, 9, 11}, {0, 3, 4, 6, 7, 8, 9, 10}, {0, 2, 3, 4, 6, 8, 9, 10}, {0, 3, 4, 5, 6, 8, 9, 10}, {0, 2, 3, 4, 6, 7, 8, 11}, {0, 3, 4, 5, 6, 7, 8, 11}, {0, 1, 2, 3, 4, 6, 7, 9}, {0, 2, 3, 4, 6, 7, 9, 11}, {0, 2, 3, 4, 6, 7, 9, 10}, {0, 1, 2, 3, 4, 6, 9, 10}, {0, 2, 3, 4, 5, 6, 9, 10}, {0, 1, 3, 4, 6, 7, 9, 10}, {0, 1, 3, 4, 5, 6, 9, 10}, {0, 3, 4, 6, 7, 9, 10, 11}, {0, 3, 4, 5, 6, 7, 9, 10}, {0, 3, 4, 5, 6, 9, 10, 11}, {0, 1, 3, 4, 6, 7, 9, 11}, {0, 3, 4, 5, 6, 7, 9, 11}, {0, 1, 2, 3, 4, 6, 7, 11}, {0, 1, 3, 4, 5, 6, 7, 11}, {0, 2, 3, 4, 5, 6, 7, 11}, {0, 3, 4, 5, 6, 7, 10, 11}, {0, 1, 2, 4, 6, 7, 9, 10}, {0, 2, 4, 6, 7, 9, 10, 11}, {0, 2, 4, 5, 6, 7, 9, 10}, {0, 1, 2, 4, 6, 8, 9, 10}, {0, 1, 2, 4, 5, 6, 9, 10}, {0, 2, 4, 5, 6, 9, 10, 11}, {0, 1, 2, 4, 6, 7, 8, 9}, {0, 1, 2, 4, 6, 7, 9, 11}, {0, 2, 4, 5, 6, 7, 9, 11}, {0, 1, 4, 5, 6, 9, 10, 11}, {0, 4, 5, 6, 7, 9, 10, 11}, {0, 1, 4, 5, 6, 8, 9, 10}, {0, 1, 4, 5, 6, 7, 9, 10}, {0, 1, 4, 6, 7, 8, 9, 10}, {0, 1, 4, 6, 7, 9, 10, 11}, {0, 1, 4, 6, 7, 8, 9, 11}, {0, 1, 4, 5, 6, 7, 9, 11}, {0, 1, 2, 4, 6, 7, 8, 11}, {0, 1, 4, 5, 6, 7, 8, 11}, {0, 1, 2, 4, 5, 6, 7, 11}, {0, 1, 4, 5, 6, 7, 10, 11}, {0, 2, 4, 5, 6, 7, 10, 11}, {0, 1, 2, 3, 4, 7, 8, 9}, {0, 1, 2, 3, 4, 8, 9, 10}, {0, 1, 3, 4, 5, 8, 9, 10}, {0, 2, 3, 4, 7, 8, 9, 11}, {0, 2, 3, 4, 7, 8, 9, 10}, {0, 2, 3, 4, 5, 8, 9, 10}, {0, 3, 4, 5, 8, 9, 10, 11}, {0, 2, 3, 4, 7, 9, 10, 11}, {0, 2, 3, 4, 5, 7, 9, 10}, {0, 2, 3, 4, 5, 9, 10, 11}, {0, 2, 3, 4, 5, 7, 9, 11}, {0, 3, 4, 5, 7, 9, 10, 11}, {0, 2, 4, 5, 7, 9, 10, 11}, {0, 1, 2, 6, 7, 8, 9, 11}, {0, 1, 2, 3, 6, 7, 8, 9}, {0, 1, 2, 6, 7, 8, 9, 10}, {0, 1, 2, 3, 6, 7, 8, 11}, {0, 1, 2, 5, 6, 7, 8, 11}, {0, 1, 3, 5, 6, 7, 8, 11}, {0, 1, 5, 6, 7, 8, 10, 11}, {0, 1, 2, 6, 7, 9, 10, 11}, {0, 1, 2, 5, 6, 7, 9, 11}, {0, 1, 2, 5, 6, 7, 9, 10}, {0, 1, 2, 5, 6, 7, 10, 11}, {0, 1, 5, 6, 7, 9, 10, 11}, {0, 2, 5, 6, 7, 9, 10, 11} "

8,67.0," {0, 1, 2, 3, 4, 6, 7, 8, 9}, {0, 1, 3, 4, 6, 7, 8, 9, 11}, {0, 1, 3, 4, 6, 7, 8, 9, 10}, {0, 1, 2, 3, 4, 6, 8, 9, 10}, {0, 1, 3, 4, 5, 6, 8, 9, 10}, {0, 1, 2, 3, 4, 6, 7, 8, 11}, {0, 1, 3, 4, 5, 6, 7, 8, 11}, {0, 2, 3, 4, 6, 7, 8, 9, 11}, {0, 2, 3, 4, 6, 7, 8, 9, 10}, {0, 3, 4, 6, 7, 8, 9, 10, 11}, {0, 3, 4, 5, 6, 7, 8, 9, 11}, {0, 3, 4, 5, 6, 7, 8, 9, 10}, {0, 2, 3, 4, 5, 6, 8, 9, 10}, {0, 3, 4, 5, 6, 8, 9, 10, 11}, {0, 2, 3, 4, 5, 6, 7, 8, 11}, {0, 3, 4, 5, 6, 7, 8, 10, 11}, {0, 1, 2, 3, 4, 6, 7, 9, 11}, {0, 1, 2, 3, 4, 6, 7, 9, 10}, {0, 2, 3, 4, 6, 7, 9, 10, 11}, {0, 2, 3, 4, 5, 6, 7, 9, 11}, {0, 2, 3, 4, 5, 6, 7, 9, 10}, {0, 1, 2, 3, 4, 5, 6, 9, 10}, {0, 2, 3, 4, 5, 6, 9, 10, 11}, {0, 1, 3, 4, 6, 7, 9, 10, 11}, {0, 1, 3, 4, 5, 6, 7, 9, 10}, {0, 1, 3, 4, 5, 6, 9, 10, 11}, {0, 3, 4, 5, 6, 7, 9, 10, 11}, {0, 1, 3, 4, 5, 6, 7, 9, 11}, {0, 1, 2, 3, 4, 5, 6, 7, 11}, {0, 1, 3, 4, 5, 6, 7, 10, 11}, {0, 2, 3, 4, 5, 6, 7, 10, 11}, {0, 1, 2, 4, 6, 7, 8, 9, 10}, {0, 1, 2, 4, 6, 7, 9, 10, 11}, {0, 1, 2, 4, 5, 6, 7, 9, 10}, {0, 2, 4, 5, 6, 7, 9, 10, 11}, {0, 1, 2, 4, 5, 6, 8, 9, 10}, {0, 1, 2, 4, 5, 6, 9, 10, 11}, {0, 1, 2, 4, 6, 7, 8, 9, 11}, {0, 1, 2, 4, 5, 6, 7, 9, 11}, {0, 1, 4, 5, 6, 8, 9, 10, 11}, {0, 1, 4, 5, 6, 7, 9, 10, 11}, {0, 1, 4, 5, 6, 7, 8, 9, 10}, {0, 1, 4, 6, 7, 8, 9, 10, 11}, {0, 1, 4, 5, 6, 7, 8, 9, 11}, {0, 1, 2, 4, 5, 6, 7, 8, 11}, {0, 1, 4, 5, 6, 7, 8, 10, 11}, {0, 1, 2, 4, 5, 6, 7, 10, 11}, {0, 1, 2, 3, 4, 7, 8, 9, 11}, {0, 1, 2, 3, 4, 7, 8, 9, 10}, {0, 1, 2, 3, 4, 5, 8, 9, 10}, {0, 1, 3, 4, 5, 8, 9, 10, 11}, {0, 2, 3, 4, 7, 8, 9, 10, 11}, {0, 2, 3, 4, 5, 7, 8, 9, 11}, {0, 2, 3, 4, 5, 7, 8, 9, 10}, {0, 2, 3, 4, 5, 8, 9, 10, 11}, {0, 3, 4, 5, 7, 8, 9, 10, 11}, {0, 2, 3, 4, 5, 7, 9, 10, 11}, {0, 1, 2, 3, 6, 7, 8, 9, 11}, {0, 1, 2, 6, 7, 8, 9, 10, 11}, {0, 1, 2, 5, 6, 7, 8, 9, 11}, {0, 1, 2, 3, 6, 7, 8, 9, 10}, {0, 1, 2, 5, 6, 7, 8, 9, 10}, {0, 1, 2, 3, 5, 6, 7, 8, 11}, {0, 1, 2, 5, 6, 7, 8, 10, 11}, {0, 1, 3, 5, 6, 7, 8, 10, 11}, {0, 1, 5, 6, 7, 8, 9, 10, 11}, {0, 1, 2, 5, 6, 7, 9, 10, 11} "

9,41.0," {0, 1, 2, 3, 4, 6, 7, 8, 9, 11}, {0, 1, 2, 3, 4, 6, 7, 8, 9, 10}, {0, 1, 3, 4, 6, 7, 8, 9, 10, 11}, {0, 1, 3, 4, 5, 6, 7, 8, 9, 11}, {0, 1, 3, 4, 5, 6, 7, 8, 9, 10}, {0, 1, 2, 3, 4, 5, 6, 8, 9, 10}, {0, 1, 3, 4, 5, 6, 8, 9, 10, 11}, {0, 1, 2, 3, 4, 5, 6, 7, 8, 11}, {0, 1, 3, 4, 5, 6, 7, 8, 10, 11}, {0, 2, 3, 4, 6, 7, 8, 9, 10, 11}, {0, 2, 3, 4, 5, 6, 7, 8, 9, 11}, {0, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {0, 3, 4, 5, 6, 7, 8, 9, 10, 11}, {0, 2, 3, 4, 5, 6, 8, 9, 10, 11}, {0, 2, 3, 4, 5, 6, 7, 8, 10, 11}, {0, 1, 2, 3, 4, 6, 7, 9, 10, 11}, {0, 1, 2, 3, 4, 5, 6, 7, 9, 11}, {0, 1, 2, 3, 4, 5, 6, 7, 9, 10}, {0, 2, 3, 4, 5, 6, 7, 9, 10, 11}, {0, 1, 2, 3, 4, 5, 6, 9, 10, 11}, {0, 1, 3, 4, 5, 6, 7, 9, 10, 11}, {0, 1, 2, 3, 4, 5, 6, 7, 10, 11}, {0, 1, 2, 4, 6, 7, 8, 9, 10, 11}, {0, 1, 2, 4, 5, 6, 7, 8, 9, 10}, {0, 1, 2, 4, 5, 6, 7, 9, 10, 11}, {0, 1, 2, 4, 5, 6, 8, 9, 10, 11}, {0, 1, 2, 4, 5, 6, 7, 8, 9, 11}, {0, 1, 4, 5, 6, 7, 8, 9, 10, 11}, {0, 1, 2, 4, 5, 6, 7, 8, 10, 11}, {0, 1, 2, 3, 4, 7, 8, 9, 10, 11}, {0, 1, 2, 3, 4, 5, 7, 8, 9, 11}, {0, 1, 2, 3, 4, 5, 7, 8, 9, 10}, {0, 1, 2, 3, 4, 5, 8, 9, 10, 11}, {0, 1, 3, 4, 5, 7, 8, 9, 10, 11}, {0, 2, 3, 4, 5, 7, 8, 9, 10, 11}, {0, 1, 2, 3, 6, 7, 8, 9, 10, 11}, {0, 1, 2, 3, 5, 6, 7, 8, 9, 11}, {0, 1, 2, 5, 6, 7, 8, 9, 10, 11}, {0, 1, 2, 3, 5, 6, 7, 8, 9, 10}, {0, 1, 2, 3, 5, 6, 7, 8, 10, 11}, {0, 1, 3, 5, 6, 7, 8, 9, 10, 11} "

10,11.0," {0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11}, {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11}, {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11}, {0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11}, {0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11}, {0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}, {0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11}, {0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11}, {0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11}, {0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11} "

11,1.0," {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11} "

